Phenotype,MeSH Heading/Name of Substance,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Tree Number,Notes,Heading Mapped to
AURICULOCONDYLAR SYNDROME,Auriculo-condylar syndrome,C09.218,A01.456.313,A09.246,,,,,,,,,,,,,,,,,,,"An autosomal dominant disorder that affects morphogenesis of the BRANCHIAL REGION of the embryo, specifically the first and second pharyngeal arches. It is characterized by malformed ears (question mark ears), prominent cheeks,MICROSTOMIA, abnormal TEMPOROMANDIBULAR JOINT, and MANDIBULAR CONDYLE  hypoplasia. Mutations in the GNAI3 gene have been identified. OMIM: 602483",*Ear Diseases;Ear/*abnormalities
"HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 3","Hyperinsulinemic hypoglycemia, familial, 3",C18.452.394.984,C18.452.394.968,,,,,,,,,,,,,,,,,,,,,*Hypoglycemia;*Hyperinsulinism
MEGALENCEPHALY-CAPILLARY MALFORMATION-POLYMICROGYRIA SYNDROME,,,,,,,,,,,,,,,,,,,,,,,,
MARSHALL-SMITH SYNDROME,Marshall-Smith syndrome,C10.500.840,C16.131.666.845,C05.116.099,C16.131.077,C05.660.207,C16.131.621.207,,,,,,,,,,,,,,,,,"*Septo-Optic Dysplasia;*Bone Diseases, Developmental;*Abnormalities, Multiple;*Craniofacial Abnormalities"
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ib",,,,,,,,,,,,,,,,,,,,,,,,
BRANCHIOOTIC SYNDROME 1,Branchiootic syndrome,C16.131.077.208,C16.131.260.090,C16.320.180.090,,,,,,,,,,,,,,,,,,,,*Branchio-Oto-Renal Syndrome
"DYSTONIA 6, TORSION","Dystonia 6, torsion",C10.228.140.079.357,C10.228.662.300.200,C10.574.500.393,C16.320.400.330,,,,,,,,,,,,,,,,,,"An autosomal dominant form of dystonia musculorum deformans characterized by early involvement of craniofacial muscles with progression to the arms, and laryngeal dystonia that causes speech difficulties. Mutations in the THAP1 gene have been identified. OMIM: 602629",*Dystonia Musculorum Deformans
PSORIASIS SUSCEPTIBILITY 2,,,,,,,,,,,,,,,,,,,,,,,,
RIGID SPINE MUSCULAR DYSTROPHY 1,Rigid spine syndrome,A11.284.420.500,C05.651.534.500,C10.668.491.175.500,C16.320.577,C05.116.900.800.875,,,,,,,,,,,,,,,,,,Mallory Bodies/*pathology;*Muscular Dystrophies;*Scoliosis
RETINITIS PIGMENTOSA 25,Retinitis Pigmentosa 25,C11.270.684,C11.768.585.658.500,C16.320.290.684,,,,,,,,,,,,,,,,,,,mutation in EYS,*Retinitis Pigmentosa
HISTIOCYTOSIS WITH JOINT CONTRACTURES AND SENSORINEURAL DEAFNESS,Histiocytosis with joint contractures and sensorineural deafness,C05.550.323,C05.651.197,C09.218.458.341.887,C10.597.751.418.341.887,C23.888.592.763.393.341.887,C15.604.250,,,,,,,,,,,,,,,,,"*Contracture;*Hearing Loss, Sensorineural;*Histiocytosis"
MUENKE SYNDROME,Muenke Syndrome,C05.116.099.370.894.232,C05.660.207.240,C05.660.906.364,C16.131.621.207.240,C16.131.621.906.364,,,,,,,,,,,,,,,,,"A hereditary autosomal dominant disorder characterized by uni- or bicoronal synostosis (craniosyostoses), MACROCEPHALY, midfacial hypoplasia, and DEVELOPMENTAL DISABILITIES. Other more variable features include thimble-shaped middle phalanges, BRACHYDACTYLY, carpal/tarsal fusion, and DEAFNESS. The phenotype is variable and can range from no detectable clinical manifestations to complex findings. This disorder is caused by a mutation (P250R) in the FGFR3 gene. OMIM: 602849",*Craniosynostoses
"ACROMESOMELIC DYSPLASIA, MAROTEAUX TYPE","Acromesomelic dysplasia, Maroteaux type",C05.116.099,,,,,,,,,,,,,,,,,,,,,,"*Bone Diseases, Developmental"
SCHIZOPHRENIA 6,,,,,,,,,,,,,,,,,,,,,,,,
ENDPLATE ACETYLCHOLINESTERASE DEFICIENCY,Endplate Acetylcholinesterase Deficiency,C10.668.758.800,C16.320.590,,,,,,,,,,,,,,,,,,,,,"*Myasthenic Syndromes, Congenital"
MITOCHONDRIAL DNA DEPLETION SYNDROME 1 (MNGIE TYPE),,,,,,,,,,,,,,,,,,,,,,,,
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ic",Congenital disorder of glycosylation type 1C,C16.320.565.202.125,C18.452.648.202.125,,,,,,,,,,,,,,,,,,,,"Carbohydrate-deficient glycoprotein syndrome, type 1 with deficient glycosylation of dolichol-linked oligosaccharide",*Congenital Disorders of Glycosylation
"MECKEL SYNDROME, TYPE 2",Meckel syndrome type 2,C08.200,C09.150,C10.500.680.488,C16.131.666.680.488,C23.300.707.186,C12.777.419.403.875,C13.351.968.419.403.875,,,,,,,,,,,,,,,mutation in TMEM216,*Ciliary Motility Disorders;*Encephalocele;*Polycystic Kidney Diseases
HUNTINGTON DISEASE-LIKE 1,Huntington Disease-Like 1,C10.228.140.079.545,C10.228.140.380.278,C10.228.662.262.249.750,C10.574.500.497,C16.320.400.430,F03.615.250.400,F03.615.400.390,,,,,,,,,,,,,,,,*Huntington Disease
FOCAL SEGMENTAL GLOMERULOSCLEROSIS 1,Segmental glomerulosclerosis,C12.777.419.570.363.660,C13.351.968.419.570.363.640,,,,,,,,,,,,,,,,,,,,"A pathologic finding in several renal disorders that manifest clinically as PROTEINURIA and progressive decline in renal function. Some patients develop NEPHROTIC SYNDROME (OMIM: 256300), but others may only have proteinuria in the nephrotic syndrome range. Autosomal dominant mutations in the ACTN4 gene have been identified in some cases. OMIM: 603278","*Glomerulosclerosis, Focal Segmental"
CEREBRAL CAVERNOUS MALFORMATIONS 2,Cerebral Cavernous Malformations 2,A02.835.232.904.567,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,C05.500.460.457,C05.660.207.540.460.457,C07.320.440.457,C07.650.500.460.457,C16.131.621.207.540.460.457,C16.131.850.500.460.457,,,,,,,,,,,,Ribs/*abnormalities;*Intellectual Disability;*Micrognathism
CEREBRAL CAVERNOUS MALFORMATIONS 3,Cerebral Cavernous Malformations 3,A02.835.232.904.567,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,C05.500.460.457,C05.660.207.540.460.457,C07.320.440.457,C07.650.500.460.457,C16.131.621.207.540.460.457,C16.131.850.500.460.457,,,,,,,,,,,,Ribs/*abnormalities;*Intellectual Disability;*Micrognathism
GRACILE SYNDROME,Finnish lethal neonatal metabolic syndrome,C16.320.565,C18.452.648,C18.452.076.176.180,C18.452.660,C13.703.277.370,C16.300.390,C23.550.393.450,C06.130.120.135,C18.452.565.500.500,C12.777.419.815.885,C13.351.968.419.815.885,C16.320.565.861.885,C18.452.648.861.885,,,,,,,,,"Growth Retardation, Aminoaciduria, Cholestasis, Iron overload, Lactic acidosis, and Early death","*Metabolism, Inborn Errors;*Acidosis, Lactic;Mitochondrial Diseases/*congenital;*Fetal Growth Retardation;*Cholestasis;*Hemosiderosis;*Renal Aminoacidurias"
"GLAUCOMA 1, OPEN ANGLE, F","Glaucoma 1, Open Angle, F",C11.525.381.407,,,,,,,,,,,,,,,,,,,,,,"*Glaucoma, Open-Angle"
MEGALANECEPHALY POLYMICROGYRIA-POLYDACTYLY HYDROCEPHALUS SYNDROME,Megalanecephaly Polymicrogyria-Polydactyly Hydrocephalus Syndrome,C05.660.585.600,C16.131.621.585.600,C10.228.140.602,C10.500.507,C16.131.666.507,,,,,,,,,,,,,,,,,,*Polydactyly;*Hydrocephalus;*Malformations of Cortical Development
SPINOCEREBELLAR ATAXIA 10,Spinocerebellar Ataxia 10,G02.111.570.080.708.800.140,G05.355.600.220,G05.360.080.708.800.074,G05.360.340.024.189.220,G05.360.340.024.850.140,G05.365.590.220,C10.228.140.252.190.530,C10.228.140.252.700.700,C10.228.854.787.875,C10.574.500.825.700,C10.597.350.090.500.530,C16.320.400.780.875,,,,,,,,,,mutation in ATXN10,DNA Repeat Expansion;*Spinocerebellar Ataxias
LIMB-MAMMARY SYNDROME,Limb-mammary syndrome,A01.236,C05.660.585,C16.131.621.585,,,,,,,,,,,,,,,,,,,,"Breast/*abnormalities;*Limb Deformities, Congenital"
SPONDYLOEPIMETAPHYSEAL DYSPLASIA WITH JOINT LAXITY TYPE 2,,,,,,,,,,,,,,,,,,,,,,,,
"SPASTIC PARAPLEGIA 8, AUTOSOMAL DOMINANT",Spastic Paraplegia Type 8,C10.500.300.820,C10.574.500.495.820,C10.668.829.800.300.820,C16.131.666.300.820,C16.320.400.375.820,C10.597.622.669,C23.888.592.636.637,,,,,,,,,,,,,,,,"*Spastic Paraplegia, Hereditary;*Paraplegia"
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIf","Congenital Disorder Of Glycosylation, Type IIF",C16.320.565.202.125,C18.452.648.202.125,,,,,,,,,,,,,,,,,,,,mutation in SLC35A1,*Congenital Disorders of Glycosylation
CONE-ROD DYSTROPHY 7,Cone-Rod Dystrophy 7,C11.270.684,C11.768.585.658.500,C16.320.290.684,,,,,,,,,,,,,,,,,,,,*Retinitis Pigmentosa
ACROMELIC FRONTONASAL DYSOSTOSIS,Acromelic Frontonasal Dysostosis,C05.116.099.370.231.576,C05.660.207.231.576,C16.131.621.207.231.576,,,,,,,,,,,,,,,,,,,,*Mandibulofacial Dysostosis
PROSTATE CANCER/BRAIN CANCER SUSCEPTIBILITY,,,,,,,,,,,,,,,,,,,,,,,,
HEREDITARY MYOPATHY WITH EARLY RESPIRATORY FAILURE,Hereditary Myopathy with Early Respiratory Failure,C05.651,C10.668.491,C16.320,C08.618.846,,,,,,,,,,,,,,,,,,,"*Muscular Diseases;*Genetic Diseases, Inborn;*Respiratory Insufficiency"
"OHDO SYNDROME, SBBYS VARIANT",Young Simpson syndrome,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,C23.550.291.812,E01.370.600.230,C14.240.400,C14.280.400,C16.131.240.400,C11.250.090,C11.338.190,C16.131.384.190,C05.116.099.343.347,C05.116.132.256,C16.320.240.625,C19.297.155,C19.874.482.281,C05.550.521,,,,Sbbyss; Bmrs Sbbys not included,"*Intellectual Disability;*Facies;*Heart Defects, Congenital;*Blepharophimosis;*Congenital Hypothyroidism;*Joint Instability"
STARGARDT DISEASE 4,Stargardt disease 4,C11.768.585.439,,,,,,,,,,,,,,,,,,,,,,Macular Degeneration/*congenital
LONG QT SYNDROME 3,Long Qt Syndrome 3,C14.280.067.565,C16.131.240.400.715,C23.550.073.547,,,,,,,,,,,,,,,,,,,,*Long QT Syndrome
MEDULLARY CYSTIC KIDNEY DISEASE 2,Medullary Cystic Kidney Disease 2,C12.777.419.403.875.500,C13.351.968.419.403.875.500,D12.776.395.550.448.850,D12.776.395.560.912,D12.776.543.484.500.850,D12.776.543.550.418.850,,,,,,,,,,,,,,,,,"*Polycystic Kidney, Autosomal Dominant;Uromodulin/*deficiency"
INTERVERTEBRAL DISC DISEASE,Intervertebral disc disease,C05.116.900.307,C23.300.707.952,C05.116.900.153,,,,,,,,,,,,,,,,,,,"Degeneration of INTERVERTEBRAL DISCS of the lumbar spine. It is among the most common of musculoskeletal disorders and has strong genetic determinants. Germline mutations have been identified in the ASPN, COL9A2, COL9A3, COL11A1, and MMP9 genes. OMIM: 603932",*Intervertebral Disc Displacement;*Intervertebral Disc Degeneration
FOCAL SEGMENTAL GLOMERULOSCLEROSIS 2,Focal Segmental Glomerulosclerosis 2,C12.777.419.570.363.660,C13.351.968.419.570.363.640,,,,,,,,,,,,,,,,,,,,mutations in  TRPC6,"*Glomerulosclerosis, Focal Segmental"
MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 1,,,,,,,,,,,,,,,,,,,,,,,,
CONE-ROD DYSTROPHY 3,Cone-Rod Dystrophy 3,C11.270.684,C11.768.585.658.500,C16.320.290.684,,,,,,,,,,,,,,,,,,,,*Retinitis Pigmentosa
"VOHWINKEL SYNDROME, VARIANT FORM","Vohwinkel Syndrome, Variant Form",C16.320.850,C17.800.827,,,,,,,,,,,,,,,,,,,,,"*Skin Diseases, Genetic"
EPIDERMOLYSIS BULLOSA PRURIGINOSA,Epidermolysis Bullosa Pruriginosa,C16.131.831.493.160,C16.320.850.275.160,C17.300.200.367,C17.800.804.493.160,C17.800.827.275.160,C17.800.865.410.160,,,,,,,,,,,,,,,,"A rare distinct clinical subtype of dystrophic EB in which skin fragility, blistering, and scar formation are associated with intense PRURITIS, nodular prurigo-like lichenified lesions, nail dystrophy, and variable presence of albopapuloid lesions. Onset may be in early childhood through the second or third decade of life. Autosomal dominant, autosomal recessive, and sporadic inheritance patterns have all been described in this disorder. Mutations in the COL7A1 gene have been identified. OMIM: 604129",*Epidermolysis Bullosa Dystrophica
"CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY","Congenital Cataracts, Facial Dysmorphism, And Neuropathy",C11.510.245,C10,C05.660.207,C16.131.621.207,,,,,,,,,,,,,,,,,,mutation on CTDP1,Cataract/*congenital;*Nervous System Diseases;*Craniofacial Abnormalities
LEFT VENTRICULAR NONCOMPACTION 1,,,,,,,,,,,,,,,,,,,,,,,,
POIKILODERMA WITH NEUTROPENIA,Poikiloderma with Neutropenia,C15.378.553.546.184.564,C16.131.831,C17.800.804,,,,,,,,,,,,,,,,,,,,*Neutropenia;*Skin Abnormalities
"SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINANT","Spastic paraplegia 10, autosomal dominant",C10.500.300.820,C10.574.500.495.820,C10.668.829.800.300.820,C16.131.666.300.820,C16.320.400.375.820,,,,,,,,,,,,,,,,,,"*Spastic Paraplegia, Hereditary"
CHUDLEY-MCCULLOUGH SYNDROME,Chudley-Mccullough syndrome,C09.218.458.341.887,C10.597.751.418.341.887,C23.888.592.763.393.341.887,C10.500.034,C16.131.666.034,C23.300.008,C04.182.044,C04.588.614.250.387.100,C10.500.142.100,C10.551.240.375.100,C16.131.666.142.100,,,,,,,,,,,,"*Hearing Loss, Sensorineural;*Agenesis of Corpus Callosum;*Arachnoid Cysts"
"CATARACT 9, MULTIPLE TYPES","Cataract, Autosomal Dominant",C11.510.245,,,,,,,,,,,,,,,,,,,,,Hereditary forms of cataract caused by mutations in the CRYAA gene. OMIM: 604219,*Cataract
PETERS ANOMALY,Peters anomaly,C11.204.299,A09.371.060,C11.250,C16.131.384,,,,,,,,,,,,,,,,,,"A hereditary, autosomal recessive eye abnormality consisting of central corneal LEUKOMA, absence of the posterior CORNEAL STROMA and DESCEMET MEMBRANE, and a variable degree of IRIS and lenticular attachments to the central aspect of the posterior CORNEA. It occurs as an isolated ocular abnormality or in association with other ocular defects; such as Krause-Kivlin syndrome (OMIM: 261540). Mutations in the CYP1B!, PITX2, and PAX6 genes have been identified. OMIM: 604229",*Corneal Opacity;Anterior Eye Segment/*abnormalities;*Eye Abnormalities
LEBER CONGENITAL AMAUROSIS 3,Leber Congenital Amaurosis 3,C11.270.684,C11.768.585.658.500,C16.320.290.684,C11.270.516,C11.768.364,,,,,,,,,,,,,,,,,mutaions in SPATA7,*Retinitis Pigmentosa;*Leber Congenital Amaurosis
"GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 1","Generalized Epilepsy With Febrile Seizures Plus, Type 1",C10.228.140.490.650,C10.228.140.490.375,,,,,,,,,,,,,,,,,,,,mutation in SCN1B,"*Seizures, Febrile;*Epilepsy, Generalized"
"ATPase DEFICIENCY, NUCLEAR-ENCODED",Leigh Syndrome Due To Mitochondrial Complex I Deficiency,C10.228.140.163.100.412,C16.320.565.189.412,C16.320.565.202.810.444,C18.452.132.100.412,C18.452.648.189.412,C18.452.648.202.810.444,C18.452.660.520,,,,,,,,,,,,,,,,*Leigh Disease
ACERULOPLASMINEMIA,Familial apoceruloplasmin deficiency,C10.574,C18.452.565,D08.811.682.226,D12.776.124.050.130,D12.776.124.790.106.214,D12.776.157.160,D12.776.377.715.085.214,D12.776.556.151,,,,,,,,,,,,,,"A hereditary autosomal recessive iron metabolism disorder, where iron gradually accumulates in the brain and other organs. It is characterized by neurologic symptoms that include DYSTONIA and TICS of the head, neck, face, and eyelids (BLEPHAROSPASM), TREMOR; CHOREA, and ATAXIA. DEMENTIA may occur in middle aged patients. Iron damage to pancreatic cells may cause DIABETES MELLITUS and iron accumulation in the tissues and organs results in a deficiency of iron in the blood, leading to ANEMIA; anemia and diabetes usually occur in young adulthood. Excess iron may also affect the eye, causing RETINAL DEGENERATION.  Mutations in the CP gene have been identified. OMIM: 604290",*Neurodegenerative Diseases;*Iron Metabolism Disorders;Ceruloplasmin/*deficiency
"ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND CLEFT LIP/PALATE SYNDROME 3",,,,,,,,,,,,,,,,,,,,,,,,
"CATARACT 2, MULTIPLE TYPES",,,,,,,,,,,,,,,,,,,,,,,,
MASS SYNDROME,MASS syndrome,C17.800,C14.280.484.400.500,C11.744.636,,,,,,,,,,,,,,,,,,,"Autosomal dominant disorder of CONNECTIVE TISSUE characterized by myopia, mitral valve prolapse, borderline and non-progressive aortic enlargement, and nonspecific skin and skeletal features (MASS). It can be associated with mutations in the gene encoding FIBRILLIN",*Skin Diseases;*Mitral Valve Prolapse;*Myopia
"MICROCEPHALY 4, PRIMARY, AUTOSOMAL RECESSIVE",,,,,,,,,,,,,,,,,,,,,,,,
SPINOCEREBELLAR ATAXIA 12,Spinocerebellar Ataxia 12,C10.228.140.252.190.530,C10.228.140.252.700.700,C10.228.854.787.875,C10.574.500.825.700,C10.597.350.090.500.530,C16.320.400.780.875,,,,,,,,,,,,,,,,due to expansion of a CAG repeat in a brain-specific regulatory subunit of the protein phosphatase PP2A,*Spinocerebellar Ataxias
"ADVANCED SLEEP-PHASE SYNDROME, FAMILIAL","Advanced Sleep-Phase Syndrome, Familial",C10.281.800,C10.886.425.200,C24.900,F03.870.400.200,,,,,,,,,,,,,,,,,,,"*Sleep Disorders, Circadian Rhythm"
"SPASTIC PARAPLEGIA 11, AUTOSOMAL RECESSIVE","Spastic paraplegia 11, autosomal recessive",C10.500.300.820,C10.574.500.495.820,C10.668.829.800.300.820,C16.131.666.300.820,C16.320.400.375.820,,,,,,,,,,,,,,,,,"Autosomal recessive hereditary spastic paraplegia, complicated with a thin corpus callosum","*Spastic Paraplegia, Hereditary"
"BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 1",,,,,,,,,,,,,,,,,,,,,,,,
"CARDIOENCEPHALOMYOPATHY, FATAL INFANTILE, DUE TO CYTOCHROME c OXIDASE DEFICIENCY 1",,,,,,,,,,,,,,,,,,,,,,,,
HYPOTRICHOSIS 7,,,,,,,,,,,,,,,,,,,,,,,,
NEPHRONOPHTHISIS 3,Nephronophthisis 3,C12.777.419.403,C13.351.968.419.403,,,,,,,,,,,,,,,,,,,,mutation in NPHP3,"*Kidney Diseases, Cystic"
ATAXIA-TELANGIECTASIA-LIKE DISORDER,,,,,,,,,,,,,,,,,,,,,,,,
LEBER CONGENITAL AMAUROSIS 4,Leber Congenital Amaurosis 4,C11.270.516,C11.768.364,,,,,,,,,,,,,,,,,,,,,*Leber Congenital Amaurosis
"GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 2","Generalized Epilepsy With Febrile Seizures Plus, Type 2",C10.228.140.490.650,C10.228.140.490.375,,,,,,,,,,,,,,,,,,,,mutation in SCN1A,"*Seizures, Febrile;*Epilepsy, Generalized"
"PYOGENIC STERILE ARTHRITIS, PYODERMA GANGRENOSUM, AND ACNE","Pyogenic arthritis, pyoderma gangrenosum, and acne",C01.539.100,C05.550.114.099,C17.800.695.675,C17.800.862.675,C17.800.893.675,,,,,,,,,,,,,,,,,"A hereditary autosomal dominant disorder characterized by pyogenic (infectious) arthritis, pyoderma gangrenosum, and severe cystic acne. Onset is in childhood; pyoderma gangrenosum; and severe cystic acne occur in adolescence and beyond. Other less common features may include adult-onset DIABETES MELLITUS, TYPE I; PROTEINURIA, ABSCESS formation at the site of parenteral injections, and cytopenias attributable to SULFONAMIDE medications. Mutations in the PSTPIP1 gene have been identified. OMIM: 604416","*Acne Vulgaris;*Arthritis, Infectious;*Pyoderma Gangrenosum"
SPINOCEREBELLAR ATAXIA 11,Spinocerebellar Ataxia 11,C10.228.140.252.190.530,C10.228.140.252.700.700,C10.228.854.787.875,C10.574.500.825.700,C10.597.350.090.500.530,C16.320.400.780.875,,,,,,,,,,,,,,,,,*Spinocerebellar Ataxias
"AMEGAKARYOCYTIC THROMBOCYTOPENIA, CONGENITAL",Congenital amegakaryocytic thrombocytopenia,C15.378.140.855,,,,,,,,,,,,,,,,,,,,,A rare autosomal recessive disorder with onset in infancy and characterized by isolated thrombocytopenia and megakaryocytopenia with no physical anomalies. Mutations in the MPL gene have been identified. OMIM: 604498,*Thrombocytopenia
ECTODERMAL DYSPLASIA/SKIN FRAGILITY SYNDROME,,,,,,,,,,,,,,,,,,,,,,,,
LEBER CONGENITAL AMAUROSIS 5,"Amaurosis congenita of Leber, type 5",C11.270.516,C11.768.364,,,,,,,,,,,,,,,,,,,,,*Leber Congenital Amaurosis
"PROGRESSIVE FAMILIAL HEART BLOCK, TYPE IB","Progressive Familial Heart Block, Type Ib",C14.280.067.558,C23.550.073.425,,,,,,,,,,,,,,,,,,,,mutation in TRPM4,*Heart Block
"TOOTH AGENESIS, SELECTIVE, 3","Tooth Agenesis, Selective, 3",C07.650.800,C07.793.700,C16.131.850.800,,,,,,,,,,,,,,,,,,,,*Tooth Abnormalities
"MICROCEPHALY 3, PRIMARY, AUTOSOMAL RECESSIVE",,,,,,,,,,,,,,,,,,,,,,,,
"SPASTIC PARAPLEGIA 12, AUTOSOMAL DOMINANT","Spastic paraplegia 12, autosomal dominant",C10.500.300.820,C10.574.500.495.820,C10.668.829.800.300.820,C16.131.666.300.820,C16.320.400.375.820,,,,,,,,,,,,,,,,,,"*Spastic Paraplegia, Hereditary"
"STICKLER SYNDROME, TYPE II","Stickler syndrome, type 2",C17.300,C11.980,D05.750.078.280.300.500,D12.776.860.300.250.300.500,,,,,,,,,,,,,,,,,,,*Connective Tissue Diseases;*Vitreous Detachment;Collagen Type XI/*deficiency
OSTEOARTHRITIS WITH MILD CHONDRODYSPLASIA,Osteoarthritis with Mild Chondrodysplasia,C05.550.114.606,C05.799.613,C05.116.099.708,C16.320.728,,,,,,,,,,,,,,,,,,,*Osteoarthritis;*Osteochondrodysplasias
NORTH AMERICAN INDIAN CHILDHOOD CIRRHOSIS,North American Indian Childhood Cirrhosis,C06.130.120.135.250.250,C06.552.150.250,C06.552.630.400,,,,,,,,,,,,,,,,,,,,"*Liver Cirrhosis, Biliary"
SCHIZOPHRENIA 9,,,,,,,,,,,,,,,,,,,,,,,,
WOLFRAM SYNDROME 2,Wolfram Syndrome 2,C10.292.700.225,C11.640.451,C09.218.458.341.887,C10.597.751.418.341.887,C23.888.592.763.393.341.887,C23.888.069,C18.452.660,,,,,,,,,,,,,,,,"*Optic Atrophy;*Hearing Loss, Sensorineural;*Aging, Premature;*Mitochondrial Diseases"
CORTISONE REDUCTASE DEFICIENCY 1,,,,,,,,,,,,,,,,,,,,,,,,
MICROHYDRANENCEPHALY,Microhydranencephaly,C05.660.207.620,C10.500.507.400.500,C16.131.621.207.620,C16.131.666.507.400.500,C10.500.450,C16.131.666.450,,,,,,,,,,,,,,,,,*Microcephaly;*Hydranencephaly
BOHRING-OPITZ SYNDROME,Bohring syndrome,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,C05.116.099.370.894.232,C05.660.207.240,C05.660.906.364,C16.131.621.207.240,C16.131.621.906.364,,,,,,,,,,,,,,*Intellectual Disability;*Craniosynostoses
BROOKE-SPIEGLER SYNDROME,Familial cylindromatosis,C04.588.805,C17.800.882,C04.700,C16.320.700,,,,,,,,,,,,,,,,,,"Familial cylindromatosis (OMIM: 132700), Brooke-Spiegler syndrome (BRSS) (OMIM: 605041), and multiple familial trichoepithelioma 1 (MFT1) (OMIM: 601606) were originally described as distinct clinical entities. Patients with BRSS develop multiple skin appendage neoplasms including cylindromas, trichoepitheliomas, and spiradenomas. Patients with familial cylindromatosis have only cylindromas, and those with MFT1 have only trichoepitheliomas. However, because these disorders show overlapping phenotypic features, and because different manifestations of each have been described within a single family, many consider these disorders to represent a phenotypic spectrum of a single disease entity. All are caused by mutations in the CYLD gene.","*Skin Neoplasms;*Neoplastic Syndromes, Hereditary"
GROWTH DEFICIENCY AND MENTAL RETARDATION WITH FACIAL DYSMORPHISM,Growth Deficiency and Mental Retardation with Facial Dysmorphism,C23.550.393,C10.597.606.643,C23.888.592.604.646,F01.700.687,F03.625.539,C23.550.291.812,E01.370.600.230,C05.550.323,C05.651.197,C05.660.207.620,C10.500.507.400.500,C16.131.621.207.620,C16.131.666.507.400.500,C16.131.077,,,,,,,,,"*Growth Disorders;*Intellectual Disability;*Facies;*Contracture;*Microcephaly;*Abnormalities, Multiple"
BARDET-BIEDL SYNDROME 6,Bardet-Biedl Syndrome 6,C10.228.140.617.200,C16.131.077.112,,,,,,,,,,,,,,,,,,,,,*Bardet-Biedl Syndrome
SEBASTIAN SYNDROME,MYH9-Related Disorders,C09.218.458.341.887,C10.597.751.418.341.887,C23.888.592.763.393.341.887,C15.378.140.855,,,,,,,,,,,,,,,,,,"A spectrum of disorders caused by mutations in the MYH9 gene (OMIM: 160775) and characterized by thrombocytopenia, large platelets, and distinct lleukocyte inclusions (Dohle-like bodies); sensorineural deafness, CATARACTS, and NEPHRITIS may also occur.","*Hearing Loss, Sensorineural;Thrombocytopenia/*congenital"
"NEUROPATHY, CONGENITAL HYPOMYELINATING","Charcot-Marie-Tooth disease, Type 4E",C10.500.300.200,C10.574.500.495.200,C10.668.829.800.300.200,C16.131.666.300.200,C16.320.400.375.200,,,,,,,,,,,,,,,,,"A form of Charcot-Marie-Tooth Disease that may be autosomal dominant or recessive. It is characterized by the early onset of MUSCLE HYPOTONIA; areflexia, distal muscle weakness, and very slow nerve conduction velocities due to DEMYELINATION. Mutations in the MPZ and EGR2 genes have been identified. OMIM: 605253",*Charcot-Marie-Tooth Disease
"IMMUNODEFICIENCY WITH HYPER-IgM, TYPE 2",Hyper-IgM Immunodeficiency Syndrome,C15.378.147.333.249,C16.320.413,C20.673.430.249,,,,,,,,,,,,,,,,,,,"A rare inherited immunodeficiency syndrome characterized by normal or elevated serum 
IMMUNOGLOBULIN M levels with absence of 
IMMUNOGLOBULIN G; 
IMMUNOGLOBULIN A; and 
IMMUNOGLOBULIN E. It results in a profound susceptibility to 
BACTERIAL INFECTIONS and an increased susceptibility to 
OPPORTUNISTIC INFECTIONS. Several subtypes of hyper-IgM immunodeficiency syndrome exist depending upon the location of genetic mutation.;2007",
SPINOCEREBELLAR ATAXIA 13,Spinocerebellar ataxia 13,C10.228.140.252.190.530,C10.228.140.252.700.700,C10.228.854.787.875,C10.574.500.825.700,C10.597.350.090.500.530,C16.320.400.780.875,,,,,,,,,,,,,,,,"A hereditary autosomal dominant spinocerebellar ataxia with onset typically between 20 and 40 years of age. It is characterized by progressive childhood-onset cerebellar GAIT ATAXIA associated with cerebellar DYSARTHRIA, moderate INTELLECTUAL DISABILITY. Associated with mutations in the KCNC3 gene. OMIM: 605259",Spinocerebellar Ataxias/*congenital
"SPASTIC PARAPLEGIA 13, AUTOSOMAL DOMINANT","Spastic paraplegia 13, autosomal dominant",C10.500.300.820,C10.574.500.495.820,C10.668.829.800.300.820,C16.131.666.300.820,C16.320.400.375.820,,,,,,,,,,,,,,,,,,"*Spastic Paraplegia, Hereditary"
